,cases,deaths,tests_negative,tests_total,recovered
2020-02-21,1,0,0,0,0
2020-02-22,1,0,0,0,0
2020-02-23,1,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,1,0,0,0,0
2020-02-26,1,0,0,0,0
2020-02-27,1,0,0,0,0
2020-02-28,2,0,0,0,0
2020-02-29,2,0,0,0,0
2020-03-01,2,1,594,594,0
2020-03-02,2,1,594,594,0
2020-03-03,2,1,594,594,0
2020-03-04,2,1,594,594,0
2020-03-05,3,1,973,976,0
2020-03-06,3,1,973,976,0
2020-03-07,3,1,973,976,0
2020-03-08,4,1,1665,1669,0
2020-03-09,6,1,1796,1802,0
2020-03-10,6,1,1796,1802,0
2020-03-11,9,1,1796,1802,0
2020-03-12,9,1,1796,1802,0
2020-03-13,14,1,3788,3802,0
2020-03-14,14,1,3788,3802,0
2020-03-15,14,1,3788,3802,0
2020-03-16,28,1,5878,5906,0
2020-03-17,31,1,6582,6613,0
2020-03-18,35,1,7039,6613,0
2020-03-19,52,1,7956,8008,0
2020-03-20,64,1,8539,8603,0
2020-03-21,90,1,9130,8603,0
2020-03-22,120,1,9130,9500,0
2020-03-23,140,1,9948,10088,0
2020-03-24,175,1,10353,10528,0
2020-03-25,205,1,10353,10783,6
2020-03-26,231,2,11288,11519,6
2020-03-27,255,2,11288,11519,6
2020-03-28,278,2,11288,11519,6
2020-03-29,311,2,13337,13648,6
2020-03-30,355,2,13833,14188,6
2020-03-31,364,2,13833,14188,6
2020-04-01,392,2,15130,15522,64
2020-04-02,400,2,15790,16190,92
2020-04-03,422,3,16022,16444,92
2020-04-04,436,3,16022,16444,92
2020-04-05,453,3,17744,18197,148
2020-04-06,460,4,17744,18197,162
2020-04-07,470,6,18731,18197,162
2020-04-08,481,6,19615,20096,170
2020-04-09,495,6,19615,20096,170
