,cases,deaths,tests_negative,tests_total,recovered
2020-01-28,0,0,0,6,0
2020-01-29,1,0,0,6,0
2020-01-30,2,0,0,6,0
2020-01-31,2,0,0,6,0
2020-02-01,2,0,0,6,0
2020-02-02,2,0,0,6,0
2020-02-03,2,0,0,6,0
2020-02-04,3,0,0,6,0
2020-02-05,4,0,0,6,0
2020-02-06,5,0,0,6,0
2020-02-07,5,0,0,6,0
2020-02-08,5,0,0,6,0
2020-02-09,5,0,0,6,0
2020-02-10,5,0,0,6,0
2020-02-11,5,0,0,6,0
2020-02-12,5,0,0,6,0
2020-02-13,5,0,0,6,0
2020-02-14,5,0,0,6,0
2020-02-15,5,0,0,6,0
2020-02-16,5,0,0,6,0
2020-02-17,5,0,0,6,0
2020-02-18,5,0,0,6,0
2020-02-19,5,0,0,6,0
2020-02-20,5,0,0,6,0
2020-02-21,5,0,0,6,0
2020-02-22,7,0,0,6,0
2020-02-23,7,0,0,6,0
2020-02-24,7,0,0,6,0
2020-02-25,8,0,0,6,0
2020-02-26,8,0,0,6,0
2020-02-27,8,0,0,6,0
2020-02-28,8,0,0,6,0
2020-02-29,9,0,0,6,0
2020-03-01,9,0,0,6,0
2020-03-02,9,0,0,6,0
2020-03-03,10,0,0,6,0
2020-03-04,11,0,0,6,0
2020-03-05,13,0,0,6,0
2020-03-06,14,0,0,6,0
2020-03-07,14,0,0,6,0
2020-03-08,15,0,0,6,0
2020-03-09,15,0,0,6,0
2020-03-10,18,0,0,6,0
2020-03-11,20,0,0,6,0
2020-03-12,27,0,0,6,0
2020-03-13,35,0,0,6,0
2020-03-14,46,0,0,6,0
2020-03-15,61,0,0,6,0
2020-03-16,68,0,0,6,0
2020-03-17,78,0,0,6,0
2020-03-18,94,0,0,6,0
2020-03-19,144,0,0,27064,0
2020-03-20,184,0,0,27064,0
2020-03-21,221,0,0,27064,0
2020-03-22,259,0,0,27064,0
2020-03-23,319,0,0,32000,0
2020-03-24,397,0,0,38860,0
2020-03-25,443,1,0,38860,0
2020-03-26,493,1,0,38860,0
2020-03-27,555,1,0,38860,0
2020-03-28,625,1,0,38860,0
2020-03-29,656,2,0,38860,0
2020-03-30,689,2,0,38860,0
2020-03-31,743,2,0,38860,0
2020-04-01,781,2,0,50853,0
2020-04-02,835,3,0,50853,0
2020-04-03,873,3,0,53000,0
2020-04-04,900,3,0,53000,0
2020-04-05,907,4,0,53000,0
2020-04-06,921,4,0,53000,0
2020-04-07,934,4,0,53000,0
2020-04-08,943,4,0,63552,345
2020-04-09,953,4,0,63552,372
