date,confirmed,recovered,deaths
12/03/2020,1,0,0
13/03/2020,1,1,0
14/03/2020,1,1,0
15/03/2020,2,2,0
16/03/2020,2,2,0
17/03/2020,3,3,0
18/03/2020,3,3,0
19/03/2020,5,5,0
20/03/2020,11,11,0
21/03/2020,20,18,0
22/03/2020,31,27,1
23/03/2020,40,33,1
24/03/2020,47,39,1
25/03/2020,53,45,1
26/03/2020,62,54,1
27/03/2020,70,60,1
28/03/2020,76,64,2
29/03/2020,77,65,2
30/03/2020,80,66,2
31/03/2020,84,69,2
1/04/2020,88,71,2
2/04/2020,92,71,2
3/04/2020,93,71,2
4/04/2020,96,72,2
5/04/2020,96,72,2
6/04/2020,97,72,2
7/04/2020,99,73,2
8/04/2020,100,73,2
9/04/2020,102,73,2
10/04/2020,102,73,2
11/04/2020,102,73,2
12/04/2020,102,73,2
13/04/2020,103,73,2
14/04/2020,103,75,2
